,EventID,Incidents,StartTime,InteractionID,OriginInteractionID,DetectorID,ElapsedTime,x,y,z,OriginalParticleID,NewParticleID,Energy
53,5.0,2384.0,0.012230469,9.0,6.0,1.1,2.6003683964952e-08,3.240726,8.205122,99.00862,6.0,4.0,3072.758
54,6.0,2468.0,0.012676396,1.0,0.0,0.0,0.0,-70.15249,45.54412,250.0,0.0,6.0,22000.0
55,6.0,2468.0,0.012676396,2.0,1.0,0.0,4.1301959000117e-08,-70.15249,45.54412,-13.34108,6.0,4.0,15815.0
56,6.0,2468.0,0.012676396,3.0,1.0,0.0,4.5114397637371e-08,-59.18179,46.76642,-20.30142,6.0,1.0,4435.906
57,6.0,2468.0,0.012676396,4.0,1.0,0.0,4.5114397637371e-08,-59.18179,46.76642,-20.30142,6.0,6012.0,779.5267
58,6.0,2468.0,0.012676396,5.0,1.0,0.0,4.5114397637371e-08,-59.18179,46.76642,-20.30142,6.0,6.0,969.5635
59,6.0,2468.0,0.012676396,6.0,5.0,3.3,4.7041326958473e-08,-60.97324,45.14519,-21.32053,6.0,4.0,806.3681
60,6.0,2468.0,0.012676396,7.0,5.0,0.0,0.0004828978343364,56.05128,59.41773,40.99565,6.0,1.0,2224.38
61,6.0,2468.0,0.012676396,8.0,5.0,0.0,0.0004828978343364,56.05128,59.41773,40.99565,6.0,18.0,1.311436
62,6.0,2468.0,0.012676396,9.0,7.0,0.0,0.0004829122467075,258.4558,67.66041,422.6378,1.0,0.0,0.0
63,7.0,3122.0,0.016011665,1.0,0.0,0.0,0.0,-60.36535,-57.00082,250.0,0.0,6.0,22000.0
64,7.0,3122.0,0.016011665,2.0,1.0,0.0,4.8886780516114e-08,-47.98994,-50.35688,-59.74382,6.0,12026.0,445.6883
65,7.0,3122.0,0.016011665,3.0,1.0,0.0,4.8886780516114e-08,-47.98994,-50.35688,-59.74382,6.0,6.0,348.6678
66,7.0,3122.0,0.016011665,4.0,1.0,0.0,4.8886780516114e-08,-47.98994,-50.35688,-59.74382,6.0,1.0,951.1711
